name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,f1,0.24668911335578003,135.46
2_Default_Xgboost,Xgboost,f1,0.2688495865958495,123.18
3_Default_RandomForest,Random Forest,f1,0.055924170616113746,131.76
13_LightGBM,LightGBM,f1,0.23819583214387668,141.11
4_Xgboost,Xgboost,f1,0.2828390394547681,132.85
22_RandomForest,Random Forest,f1,0.05774278215223097,93.05
14_LightGBM,LightGBM,f1,0.27833557602732634,87.64
5_Xgboost,Xgboost,f1,0.27304737516005123,106.02
23_RandomForest,Random Forest,f1,0.13624710047613234,166.49
15_LightGBM,LightGBM,f1,0.2520107238605898,122.16
6_Xgboost,Xgboost,f1,0.28471486114055544,128.01
24_RandomForest,Random Forest,f1,0.0,99.48
16_LightGBM,LightGBM,f1,0.24702663465296779,110.58
7_Xgboost,Xgboost,f1,0.30142980715412404,116.71
25_RandomForest,Random Forest,f1,0.1002710027100271,149.39
7_Xgboost_GoldenFeatures,Xgboost,f1,0.2967274212487875,174.48
7_Xgboost_KMeansFeatures,Xgboost,f1,0.28646939938850596,122.11
26_Xgboost,Xgboost,f1,0.28518733203351426,119.13
27_Xgboost_GoldenFeatures,Xgboost,f1,0.28251525603608385,109.06
28_Xgboost,Xgboost,f1,0.27231305280085766,126.15
29_LightGBM,LightGBM,f1,0.2808337251214543,107.79
30_LightGBM,LightGBM,f1,0.2829197982085864,89.11
31_Xgboost,Xgboost,f1,0.29393954944321854,103.05
32_Xgboost,Xgboost,f1,0.2989669632811701,114.15
7_Xgboost_BoostOnErrors,Xgboost,f1,0.2952800245725402,102.22
Ensemble,Ensemble,f1,0.30142980715412404,21.36
7_Xgboost_Stacked,Xgboost,f1,0.2779187817258883,94.29
30_LightGBM_Stacked,LightGBM,f1,0.2788824045860662,86.95
32_Xgboost_Stacked,Xgboost,f1,0.2708646213258957,78.93
29_LightGBM_Stacked,LightGBM,f1,0.2610712551917579,75.69
7_Xgboost_GoldenFeatures_Stacked,Xgboost,f1,0.2643821504093694,70.01
Ensemble_Stacked,Ensemble,f1,0.30142980715412404,25.86
